Wave,Player,Rank,Upside,Safety,FanDuel,DraftKings,Difference,Ownership,OverallModelScore,OverallSum,UpsideSum,SafetySum,StatsRank,CourseHistoryRank,RecentFormRank
PM,Jacob Bridgeman,21,24,15,"$9,200","$7,400","$1,800",12.7%,745,25.2,26.4,19.4,12,8.4,4.8
AM,Akshay Bhatia,22,19,12,"$9,600","$7,800","$1,800",12.3%,734,26.2,20.7,15.7,8.8,13.8,3.6
AM,Keegan Bradley,23,22,47,"$8,300","$7,000","$1,300",3.3%,708,28.5,23.55,45.55,4.8,6.9,16.8
AM,Shane Lowry,24,34,35,"$9,900","$8,200","$1,700",5.4%,698,29.4,35.1,35.6,14.4,3.9,11.1
AM,Cameron Smith,25,41,26,"$9,000","$7,500","$1,500",8.2%,689,30.2,41.1,27.1,20,3.6,6.6
PM,J.J. Spaun,26,20,28,"$9,000","$7,200","$1,800",7.6%,680,31,22.8,27.3,7.6,15,8.4
AM,Nicolai Hojgaard,27,31,20,"$9,200","$7,500","$1,700",10.9%,658,32.9,31.45,23.45,14,13.2,5.7
PM,Chris Gotterup,28,29,19,"$9,800","$8,000","$1,800",9.2%,654,33.2,29.2,21.7,12.8,15.3,5.1
PM,Aaron Rai,29,37,48,"$8,600","$6,800","$1,800",3.6%,653,33.3,36.85,46.35,13.2,4.5,15.6
PM,Harris English,30,33,39,"$8,900","$7,300","$1,600",8.3%,645,34,33.9,39.9,12.4,8.7,12.9
